name,address,latitude,longitude
崁頂,站牌代碼 1000520,25.02539,121.513171
幽雅路7號,站牌代碼 234,25.137241,121.513566
麗寶大樓,站牌代碼 1156,25.070289,121.582574
石牌國小,站牌代碼 154,25.114347,121.513156
熱海大飯店,站牌代碼 1001794,25.13615,121.509028
圓山新城一,站牌代碼 1000175,25.082444,121.540087
長安東路二段,站牌代碼 1000163,25.049534,121.533116
下過溪,站牌代碼 603,25.141197,121.568785
南港軟體園區(�,站牌代碼 4111,25.058087,121.614063
天母公園,站牌代碼 4991,25.124714,121.530563
新北投,站牌代碼 7212,25.13769,121.50434
泉州街,站牌代碼 3907,25.02801,121.51419
達人女中(臺灣�,站牌代碼 8633,25.08132,121.58718
玉成里(東新街),站牌代碼 1001786,25.0508,121.58272
大業路(大興街�,站牌代碼 41,25.12909,121.49742
仁寶大樓,站牌代碼 1007,25.079102,121.568664
景福宮,站牌代碼 7606,25.067296,121.525829
湖興,站牌代碼 8664,25.067862,121.590854
力行新城,站牌代碼 9443,25.08372,121.53797
園區街,站牌代碼 50106,25.059093,121.612693
捷運東門站1,站牌代碼 200005000,25.03422,121.527565
小南門(和平院�,站牌代碼 58,25.036841,121.508728
中正高中,站牌代碼 60,25.105059,121.517803
西門國小(臺大�,站牌代碼 61,25.041327,121.502172
嶺頭,站牌代碼 1001315,25.149284,121.515667
陽明教養院華�,站牌代碼 197,25.135212,121.541228
公訓處,站牌代碼 200005050,25.004577,121.56104
忠烈祠,站牌代碼 1260,25.078005,121.531914
捷運中山站(志�,站牌代碼 200005035,25.052419,121.520309
萬隆,站牌代碼 2503,24.999211,121.539762
虎林街口,站牌代碼 20353,25.04838,121.57575
象頭埔,站牌代碼 56114,25.001848,121.588486
木柵,站牌代碼 1000439,24.988458,121.566585
臺視,站牌代碼 134,25.048279,121.550231
文化國小,站牌代碼 90,25.136616,121.495844
幸安國小,站牌代碼 75,25.038008,121.534051
鳳甲美術館,站牌代碼 73,25.127658,121.497668
六窟,站牌代碼 78,25.15312,121.53789
民權隧道,站牌代碼 149,25.07168,121.60492
永安街,站牌代碼 142,24.98672,121.56893
石牌,站牌代碼 153,25.109537,121.512347
承德公館路口,站牌代碼 155,25.118865,121.502481
磺溪,站牌代碼 14615,25.125905,121.527588
老師里,站牌代碼 16215,25.072184,121.511508
士林國中,站牌代碼 208,25.094485,121.522781
敦化和平路口,站牌代碼 209,25.023723,121.548974
承德路七段,站牌代碼 224,25.1129,121.509046
和信醫院,站牌代碼 210,25.129972,121.471581
明德路,站牌代碼 240,25.11045,121.520571
康湖隧道口(白�,站牌代碼 1025,25.077316,121.622814
