aspect,mentions,pos,neg,scope,group,neg_ratio,pos_ratio
隔音噪音,312,233,30,行政區,文山區,0.0962,0.7468
位置交通,4063,3219,43,行政區,松山區,0.0106,0.7923
入住流程,1014,527,48,行政區,松山區,0.0473,0.5197
床與睡眠,935,510,59,行政區,松山區,0.0631,0.5455
性價比,555,424,12,行政區,松山區,0.0216,0.764
房東服務,2886,2132,72,行政區,松山區,0.0249,0.7387
清潔,2279,2117,32,行政區,松山區,0.014,0.9289
空調冷氣,222,81,41,行政區,松山區,0.1847,0.3649
空間大小,2003,1363,187,行政區,松山區,0.0934,0.6805
網路WiFi,155,51,18,行政區,松山區,0.1161,0.329
衛浴熱水,668,316,78,行政區,松山區,0.1168,0.4731
設備廚房,658,356,37,行政區,松山區,0.0562,0.541
隔音噪音,762,472,126,行政區,松山區,0.1654,0.6194
位置交通,46704,36153,358,行政區,萬華區,0.0077,0.7741
入住流程,11240,4952,394,行政區,萬華區,0.0351,0.4406
床與睡眠,9722,5332,577,行政區,萬華區,0.0593,0.5484
性價比,6337,4805,138,行政區,萬華區,0.0218,0.7582
房東服務,34303,24543,599,行政區,萬華區,0.0175,0.7155
清潔,22755,21187,275,行政區,萬華區,0.0121,0.9311
空調冷氣,2716,944,418,行政區,萬華區,0.1539,0.3476
空間大小,15986,9676,2627,行政區,萬華區,0.1643,0.6053
網路WiFi,1700,666,158,行政區,萬華區,0.0929,0.3918
衛浴熱水,6851,2897,946,行政區,萬華區,0.1381,0.4229
設備廚房,4377,2078,304,行政區,萬華區,0.0695,0.4748
隔音噪音,7063,4326,1060,行政區,萬華區,0.1501,0.6125
