id,property_type_code,photo_design_sense
68398,11,0.1410584896802902
271733,11,0.0834472998976707
272314,11,0.0435622185468673
289296,11,0.8268406987190247
289298,11,0.9636140465736388
333362,5,0.7544520497322083
646629,5,0.8178976774215698
718493,11,0.8190301060676575
761561,11,0.2053366750478744
869581,5,0.9070538282394408
963051,23,0.8517484068870544
983054,28,0.0023839049972593
1015037,11,0.7969111800193787
1037747,11,0.9689651131629944
1072856,37,0.2421023696660995
1072857,38,0.9447592496871948
1094125,11,0.972036063671112
1097851,5,0.992342174053192
1120179,11,0.9618337154388428
1126278,17,0.2609757781028747
1139869,9,0.4917090237140655
1259320,5,0.9811938405036926
1297987,11,0.647739052772522
1599241,28,0.012464664876461
1618365,28,0.0409013479948043
1631691,11,0.8870254158973694
1664910,5,0.5748167037963867
1671130,5,0.9676252007484436
1689077,11,0.8449440598487854
1701140,11,0.7291715145111084
1718240,5,0.9771183729171752
1804621,11,0.7661795616149902
1805413,11,0.2603879868984222
1805783,11,0.5459306836128235
1808483,8,0.650459885597229
1828204,11,0.9118266105651855
1828230,11,0.8524481654167175
1838199,11,0.911059319972992
1838528,28,0.4422412812709808
1849010,28,0.0970697849988937
1884880,11,0.4782204329967499
1911361,28,0.2617866098880768
1933639,39,0.8661022186279297
1938837,11,0.2702706456184387
1980573,5,0.8940858840942383
2075962,11,0.1515982747077942
2084454,19,0.0127843795344233
2114695,28,0.096502885222435
2263430,11,0.4172269999980926
2365294,28,0.7314779758453369
2429479,23,0.9214723706245422
2498582,28,0.0332991071045398
2498747,28,0.190564215183258
2498893,46,0.2281138598918914
2553760,28,0.2194796204566955
2632210,11,0.838063657283783
2637590,11,0.8417360186576843
2678719,46,0.712704598903656
2753686,9,0.9228218197822572
2808875,11,0.6645522117614746
2969214,11,0.8735854029655457
3028074,5,0.5
3062366,5,0.6637557744979858
3070785,28,0.2900039851665497
3106555,8,0.1430499255657196
3186548,5,0.6200066208839417
3214180,5,0.5
3304239,11,0.3886819183826446
3399891,9,0.5750973224639893
3407985,19,0.8041528463363647
3485675,28,0.1782476752996444
3499060,28,0.8510007262229919
3840606,11,0.850479781627655
3879242,5,0.9355562329292296
3908056,5,0.6953533887863159
3919250,11,0.0579152777791023
3933100,11,0.2073021680116653
3953759,11,0.9108039140701294
3975942,11,0.0723751708865165
4014018,5,0.9096004962921144
4014179,8,0.9945577383041382
4018116,5,0.4668574333190918
4035563,28,0.7595996856689453
4054999,5,0.8468509912490845
4106145,11,0.5294291973114014
4106431,11,0.4725275337696075
4118004,8,0.9927703738212584
4148503,11,0.6064065098762512
4317397,8,0.9617239236831664
4318191,8,0.9741560816764832
4320299,11,0.7294644713401794
4372441,11,0.973912477493286
4467294,44,0.0050566745921969
4468613,40,0.4353172481060028
4495681,23,0.6998084187507629
4495844,11,0.3628845512866974
4507773,8,0.2130444049835205
4520900,11,0.9556254148483276
4541617,9,0.9063395261764526
4561084,23,0.2566198110580444
4568861,9,0.8766731023788452
4607827,28,0.9945870637893676
4630004,8,0.6998084187507629
4702288,8,0.1621778011322021
4702374,23,0.2130444049835205
4738149,28,0.9950889945030212
4749034,8,0.497128963470459
4777225,11,0.0496698096394538
4844292,9,0.6844033002853394
4845099,14,0.8195853233337402
4848637,23,0.8054702877998352
4851830,11,0.8671036958694458
4863470,23,0.7646411657333374
4890403,28,0.8444200158119202
4892246,23,0.9476975202560424
4894283,23,0.9349336624145508
4912003,28,0.4360220730304718
4934107,31,0.7790465354919434
4938261,31,0.9478920698165894
4944433,31,0.8142213225364685
4944559,31,0.9641827940940856
4951590,9,0.8508005738258362
4969123,13,0.5299637913703918
4984328,11,0.4416052997112274
5001526,11,0.7682651877403259
5081030,11,0.892767071723938
5081189,11,0.1024152934551239
5111903,28,0.0875682607293129
5184999,11,0.6386258006095886
5193504,11,0.7930170297622681
5222553,5,0.9930059909820556
5290265,11,0.4395467042922973
5352519,11,0.4978003799915313
5369168,11,0.9310508370399476
5392448,11,0.8447402715682983
5395912,38,0.964668333530426
5448667,28,0.0104856872931122
5472730,23,0.6918479800224304
5475006,28,0.8447538018226624
5475668,28,0.3975674510002136
5515015,31,0.9660855531692504
5575829,9,0.9415869116783142
5607149,31,0.9331324696540833
5608812,28,0.3164654076099396
5673023,31,0.9651800990104676
5680005,11,0.6367387771606445
5731739,11,0.9799230694770812
5770849,11,0.6937287449836731
5848620,23,0.0048184217885136
5854576,11,0.8387976288795471
5966970,11,0.5408973097801208
5976179,5,0.9828396439552308
6008427,28,0.0152594232931733
6023644,28,0.0075932932086288
6046711,23,0.6559630036354065
6050738,9,0.0395145080983638
6068270,9,0.8461602926254272
6087214,8,0.5
6094681,28,0.1196972355246543
6110481,5,0.5576025247573853
6121089,31,0.7738799452781677
6121199,12,0.983827829360962
6173828,28,0.1226222962141037
6196233,9,0.941612184047699
