listing_id,aspect,mentions,pos,neg,avg_score,neg_ratio,pos_ratio
4520900,空調冷氣,1,0,0,0.0,0.0,0.0
4520900,空間大小,8,6,1,1.75,0.125,0.75
4520900,網路WiFi,1,0,0,0.0,0.0,0.0
4520900,衛浴熱水,2,1,1,0.0,0.5,0.5
4520900,設備廚房,1,1,0,1.0,0.0,1.0
4520900,隔音噪音,4,3,0,2.0,0.0,0.75
4541617,位置交通,1,0,0,0.0,0.0,0.0
4541617,房東服務,1,1,0,6.0,0.0,1.0
4541617,空間大小,1,0,1,-2.0,1.0,0.0
4561084,位置交通,4,4,0,3.25,0.0,1.0
4561084,房東服務,2,1,0,0.5,0.0,0.5
4561084,清潔,3,3,0,2.0,0.0,1.0
4561084,空調冷氣,1,0,0,0.0,0.0,0.0
4561084,衛浴熱水,1,1,0,1.0,0.0,1.0
4561084,設備廚房,1,1,0,3.0,0.0,1.0
4561084,隔音噪音,2,1,0,1.0,0.0,0.5
4568861,位置交通,247,200,1,1.996,0.004,0.8097
4568861,停車,1,1,0,1.0,0.0,1.0
4568861,入住流程,59,24,2,0.695,0.0339,0.4068
4568861,床與睡眠,43,26,4,0.767,0.093,0.6047
4568861,性價比,21,17,0,1.333,0.0,0.8095
4568861,房東服務,63,42,2,1.365,0.0317,0.6667
4568861,早餐餐飲,25,11,1,0.56,0.04,0.44
4568861,清潔,73,71,1,1.945,0.0137,0.9726
4568861,空調冷氣,2,0,0,0.0,0.0,0.0
4568861,空間大小,60,29,8,0.65,0.1333,0.4833
4568861,網路WiFi,10,3,0,0.3,0.0,0.3
4568861,衛浴熱水,25,11,4,0.64,0.16,0.44
4568861,設備廚房,10,5,0,1.2,0.0,0.5
4568861,隔音噪音,30,12,9,0.4,0.3,0.4
4607827,位置交通,3,3,0,3.333,0.0,1.0
4607827,入住流程,2,0,0,0.0,0.0,0.0
4607827,房東服務,3,3,0,5.0,0.0,1.0
4607827,早餐餐飲,1,0,0,0.0,0.0,0.0
4607827,清潔,2,2,0,4.0,0.0,1.0
4630004,位置交通,12,10,0,2.75,0.0,0.8333
4630004,入住流程,3,2,0,1.667,0.0,0.6667
4630004,床與睡眠,1,1,0,6.0,0.0,1.0
4630004,性價比,4,4,0,2.25,0.0,1.0
4630004,房東服務,3,2,0,1.333,0.0,0.6667
4630004,早餐餐飲,2,1,0,0.5,0.0,0.5
4630004,清潔,12,12,0,1.917,0.0,1.0
4630004,空間大小,5,3,0,1.4,0.0,0.6
4630004,衛浴熱水,3,2,0,0.667,0.0,0.6667
4630004,隔音噪音,1,1,0,3.0,0.0,1.0
4702288,位置交通,2,1,0,0.5,0.0,0.5
4702288,房東服務,2,1,0,1.0,0.0,0.5
4702288,清潔,1,1,0,1.0,0.0,1.0
4702288,空間大小,1,1,0,1.0,0.0,1.0
4702374,位置交通,9,8,0,4.111,0.0,0.8889
4702374,入住流程,2,2,0,1.5,0.0,1.0
4702374,床與睡眠,2,1,0,1.5,0.0,0.5
4702374,性價比,3,3,0,5.0,0.0,1.0
4702374,房東服務,3,2,0,4.0,0.0,0.6667
4702374,早餐餐飲,1,0,0,0.0,0.0,0.0
4702374,清潔,6,6,0,3.5,0.0,1.0
4702374,空間大小,2,2,0,2.0,0.0,1.0
4702374,網路WiFi,2,1,0,0.5,0.0,0.5
4702374,衛浴熱水,2,1,0,0.5,0.0,0.5
4749034,位置交通,7,5,0,2.0,0.0,0.7143
4749034,床與睡眠,2,2,0,1.0,0.0,1.0
4749034,房東服務,7,7,0,2.143,0.0,1.0
4749034,早餐餐飲,3,2,0,1.0,0.0,0.6667
