id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person,dist_to_nearest_mrt_m,mrt_count_500m,bus_stops_count_300m,bus_stops_count_500m,conv_stores_count_200m,conv_stores_count_500m,restaurants_count_500m,dist_to_nearest_park_m,park_count_500m,dist_to_nearest_clinic_m,dist_to_nearest_school_m,avg_review_sentiment,avg_review_length,has_no_reviews
8880657,31499315,25.04507,121.50375,萬華區,Entire home/apt,0.3780821917808219,0,2,1.0,0.0,1.0,False,1843.0,4,30,3.9,0,0,0,11,4.85,4.85,4.86,4.93,4.96,4.8,4.77,0.5044788273615635,0.6085665818490246,1.0740740740740742,1553,1296,0.74,1.0,4.0,1,4,4,3817,335,91,506,29,119,73,12.941666666666666,921.5,1843.0,0.0,477.1554581026468,1,6,16,6,29,479,244.6165074238041,1,301.4594684700349,207.8805351840749,0.3002533333333333,260.23333333333335,0
8893269,44384630,25.034269,121.528816,中正區,Entire home/apt,0.7397260273972602,1,2,1.0,,1.0,False,,365,365,365.0,0,0,0,1,4.63,4.81,4.73,4.98,4.99,5.0,4.62,,0.1524249422632794,0.8214285714285714,254,119,1.0,,0.0,0,2,2,3667,561,197,704,23,19,9,12.7,,,,26.372336778056997,8,12,28,4,24,188,71.49943509573497,5,137.5389435394826,466.9119565450938,0.4832766666666667,281.93333333333334,0
9051375,19568984,25.038837966163644,121.57629652738392,信義區,Entire home/apt,0.8575342465753425,1,2,1.0,1.0,1.0,False,1371.0,3,1125,3.0,1,0,0,2,4.74,4.86,4.7,4.88,4.89,4.84,4.72,0.0930787589498806,0.2928388746803069,0.6176470588235294,264,176,1.0,1.0,4.0,1,5,5,4073,616,100,178,21,7,2,33.0,685.5,1371.0,0.5,207.98279494702507,5,6,22,4,28,372,144.35558775145682,8,73.75190351221086,443.3013533672794,0.2751533333333333,166.43333333333334,0
9053364,19568984,25.04043924749959,121.57816739064955,信義區,Entire home/apt,0.8383561643835616,1,2,1.0,1.0,1.0,False,1363.0,3,1125,3.0,1,0,0,2,4.67,4.68,4.57,4.84,4.84,4.82,4.64,0.0906921241050119,0.1969309462915601,0.7352941176470589,251,167,1.0,1.0,4.0,1,5,5,4073,634,100,178,25,5,0,41.833333333333336,681.5,1363.0,0.5,163.1015823076517,5,10,26,8,27,348,88.98302465501423,8,113.01795725794142,360.5989806643839,0.37960999999999995,175.8,0
9054031,19568984,25.03862746745994,121.57666728074692,信義區,Private room,0.9232876712328768,1,2,1.0,1.0,1.0,False,1690.0,3,1125,3.0,1,0,2,2,4.64,4.71,4.69,4.78,4.78,4.84,4.63,0.7455621301775148,0.3161290322580645,0.9565217391304348,254,84,1.0,1.0,4.0,1,5,5,4073,634,100,178,22,7,2,31.75,845.0,1690.0,0.5,230.5355273314721,5,7,21,7,27,367,179.08811804080497,8,30.036941792344525,485.5574587636419,0.3945666666666667,156.9,0
9121994,47527477,25.02489,121.52946,大安區,Entire home/apt,0.2438356164383561,0,3,1.0,2.0,1.0,False,4115.0,2,45,2.0,0,0,0,8,4.94,4.99,4.87,4.99,5.0,4.95,4.93,0.7180277349768875,0.7213114754098361,1.0303030303030305,458,222,0.0,,0.0,0,1,1,3626,85,218,811,34,11,6,38.16666666666666,1371.6666666666667,4115.0,0.6666666666666666,443.422475936021,3,6,15,3,15,223,114.13036650148948,7,148.70124825404534,369.1442736766042,0.6946466666666667,326.9,0
9144261,39528362,25.04676,121.51505,中正區,Entire home/apt,0.1397260273972602,0,2,1.0,1.0,1.0,False,2437.0,2,180,2.0,0,1,0,1,4.7,4.8,4.78,4.85,4.84,4.95,4.72,0.4691629955947136,0.2251732101616628,1.1428571428571428,1338,1021,0.61,1.0,2.0,0,19,9,3720,1000,106,151,32,180,72,7.392265193370166,1218.5,2437.0,0.5,120.48446257979148,10,11,31,9,38,465,179.02322396101573,6,311.927957857071,579.1440606941864,0.44168666666666667,295.23333333333335,0
9202653,27023306,25.04304,121.551,大安區,Entire home/apt,0.1506849315068493,0,4,1.0,2.0,1.0,False,2125.0,3,1000,3.0,0,1,0,8,4.91,4.9,4.9,4.97,4.99,4.99,4.87,0.2989214175654853,0.6663934426229509,1.3333333333333333,469,396,0.89,1.0,3.0,1,1,1,3894,544,281,603,44,25,9,18.03846153846154,531.25,2125.0,0.5,161.159016498624,8,6,17,6,37,919,378.2760414057206,2,95.18850888155772,486.6812416925257,0.6920633333333334,449.73333333333335,0
9292277,25523787,25.0325,121.56464,信義區,Entire home/apt,0.2383561643835616,0,2,1.0,2.0,1.0,False,2202.0,14,365,14.4,1,1,0,2,4.76,4.76,4.82,5.0,5.0,5.0,4.69,0.337708830548926,0.3375959079283887,1.1764705882352942,359,256,1.0,1.0,4.0,1,23,22,3923,198,53,490,40,13,3,25.642857142857142,1101.0,2202.0,1.0,79.72181959075152,6,13,36,0,11,197,178.2227253873731,11,412.59752054049335,161.78866337063525,0.5679764705882353,278.8235294117647,0
9311543,48333118,25.05391,121.53357,中山區,Entire home/apt,0.8493150684931506,1,8,4.0,6.0,2.5,False,9286.0,4,365,4.0,0,1,0,0,4.97,4.96,5.0,4.98,4.96,4.92,4.89,0.9861932938856016,0.7031662269129287,2.2857142857142856,279,179,0.98,1.0,4.0,1,2,2,3616,1000,294,79,56,62,21,4.428571428571429,1160.75,2321.5,0.75,164.51620725477645,9,13,32,6,25,481,120.97752612087253,7,208.18266339591176,122.55472441728293,0.4882066666666667,329.03333333333336,0
