listing_id,cal_start,n_days,booked_mask,booked_rate,booked_days,booked_rate_d30,booked_rate_d60,booked_rate_d90,gap_count_90d,gap_days_90d,gap_longest_90d,gap_first_start,gap_count_30d,gap_days_30d,gap_longest_30d,gap_first_start_30d,min_nights_median,min_nights_varies,is_longterm_only,is_all_blocked,is_all_open,m1_rate,m2_rate,m3_rate,m4_rate,m5_rate,m6_rate,m7_rate,m8_rate,m9_rate,m10_rate,m11_rate,m12_rate
1464561779715087050,2026-06-30,365,11111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.16986301369863013,62,1.0,1.0,0.6813186813186813,1,29,29,2026-08-31,0,0,0,,4.0,0,0,0,0,1.0,1.0,0.9677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464568493269965302,2026-07-01,365,00000011111111111111111100000000000000000000000000000000000000000011000000000000000000000000000000000000011111000000000001110000000000000000000001111111000000000000011000111000011100111100000000000000000000000000000111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.1780821917808219,65,0.6,0.3,0.2222222222222222,3,70,42,2026-07-01,2,12,6,2026-07-01,2.0,0,0,0,0,,0.5806,0.0,0.0667,0.2258,0.2667,0.3226,0.0645,0.6429,0.0,0.0,0.0
1465017003626584789,2026-07-01,365,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.010958904109589041,4,0.03333333333333333,0.016666666666666666,0.011111111111111112,1,89,89,2026-07-02,1,29,29,2026-07-02,4.0,0,0,0,0,,0.0323,0.0,0.0,0.0,0.0,0.0,0.0968,0.0,0.0,0.0,0.0
1465039256241285944,2026-07-01,365,11110000011000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000001111110000000000000000000000000000000011110000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5616438356164384,205,0.2,0.1,0.1111111111111111,3,80,59,2026-07-05,2,24,19,2026-07-05,2.0,1,0,0,0,,0.1935,0.0,0.1333,0.1613,0.0333,0.2581,1.0,1.0,1.0,1.0,1.0
1465205656973890343,2026-07-01,365,01111111111100000000000000000000000000011111111111111111111100000000000000000000000000000000111111000000000000000000111111111111111111111111111111111111100000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.2191780821917808,80,0.36666666666666664,0.5333333333333333,0.35555555555555557,2,57,30,2026-07-13,1,18,18,2026-07-13,5.0,0,0,0,0,,0.3548,0.6774,0.0,0.4194,1.0,0.0645,0.0968,0.0,0.0,0.0,0.0
1465675345159834593,2026-07-01,365,11111101111110111111011111110111110001110100110000011000001110110100000111001111100000010000011000001110000011110011000100010000000111000100111110000000000000000000100000000011011011110100000110000000000001110000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111,0.3315068493150685,121,0.8666666666666667,0.6666666666666666,0.5888888888888889,4,21,6,2026-08-16,0,0,0,,1.0,0,0,0,0,,0.871,0.4516,0.4,0.3871,0.3333,0.2903,0.1935,0.0,0.0323,0.0,0.0
1465745235473925807,2026-07-01,365,11111101111101111111100111100110101100100101110000011000011110000100000000000001100000010000000100000110000000110001000000110000000000010000001010010000000000000000100000010000000111110000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000000000000000000000000000000000000111111111111111111111111111111,0.2684931506849315,98,0.8,0.6333333333333333,0.4777777777777778,3,24,13,2026-08-16,0,0,0,,1.0,0,0,0,0,,0.8065,0.4516,0.1333,0.2258,0.1667,0.2258,0.0645,0.0,0.0,0.1333,0.0
1465867717598381869,2026-06-30,365,11111111111111111110111111111000111100001111111111111111111000000000000000111110000111111110011100000110000000000111100011111100000000001100000000111111000000000000000000011100111100111111100000000000111111111000000000010000110000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5671232876712329,207,0.9032258064516129,0.8360655737704918,0.7032967032967034,1,15,15,2026-08-28,0,0,0,,2.0,0,0,0,0,1.0,0.871,0.7419,0.4333,0.4194,0.3333,0.3226,0.4194,0.1071,0.129,1.0,1.0
1465981204077006679,2026-07-01,365,10011110011111111111100111101111111001111100111110011110000000011111100000000000000011110000111101111100011111100001111111110001110000111011100111111111000011111001111101111000011111111110000000000000000000000000000000001110000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5917808219178082,216,0.7666666666666667,0.7,0.5777777777777777,2,23,15,2026-08-25,0,0,0,,3.0,1,0,0,0,,0.7742,0.5806,0.3333,0.7419,0.6333,0.6774,0.0968,0.1071,0.129,1.0,1.0
1466541076328219936,2026-07-01,365,01111111000000111111000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7890410958904109,288,0.43333333333333335,0.21666666666666667,0.14444444444444443,2,76,70,2026-07-09,2,16,10,2026-07-09,5.0,0,0,0,0,,0.4194,0.0,0.0667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
