飯店名稱,住宿評等,評論分數,館內熱門設施,住客評論(前3則),行政區,地址,緯度,經度,房型名稱,房間設施,價格,可住宿人數,房型圖片網址,飯店連結
瑾旅南西館 Gininn NanXi,評分為 3 顆星，滿分為 5,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,「cp值高」 | 「服務好，住宿也舒適」 | 「空間剛剛好」,大同區,台北大同區6-12F,25.054123,121.513605,標準房,N/A,"4,280",2,#RD969584705,https://www.booking.com/hotel/tw/hua-da-lu-dian-nan-xi-guan.zh-tw.html
瑾旅南西館 Gininn NanXi,評分為 3 顆星，滿分為 5,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,「cp值高」 | 「服務好，住宿也舒適」 | 「空間剛剛好」,大同區,台北大同區6-12F,25.054123,121.513605,標準房,N/A,"4,180",1,#RD969584703,https://www.booking.com/hotel/tw/hua-da-lu-dian-nan-xi-guan.zh-tw.html
House Ximending,N/A,8.6,禁菸客房、免費良好 WiFi（42 Mbps）、家庭房、電梯、行李寄存、每日清潔服務,「老闆非常貼心介紹房間及注意事項」 | 「離捷運站很近，房間跟衛浴都乾淨。」 | 「下單後快速與客戶聯繫👍 人員超熱心說明並介紹👍 天氣熱會預先開冷氣👍 下樓就可逛街，吃東西👍 推👍推👍推」,萬華區,台北萬華區No,25.04296988683455,121.50558356864812,標準房,N/A,"5,000",4,#RD272834002,https://www.booking.com/hotel/tw/xi-men-ting-jackyde-jia-tai-bei-shi.zh-tw.html
House Ximending,N/A,8.6,禁菸客房、免費良好 WiFi（42 Mbps）、家庭房、電梯、行李寄存、每日清潔服務,「老闆非常貼心介紹房間及注意事項」 | 「離捷運站很近，房間跟衛浴都乾淨。」 | 「下單後快速與客戶聯繫👍 人員超熱心說明並介紹👍 天氣熱會預先開冷氣👍 下樓就可逛街，吃東西👍 推👍推👍推」,萬華區,台北萬華區No,25.04296988683455,121.50558356864812,標準房,N/A,"6,000",4,#RD272834005,https://www.booking.com/hotel/tw/xi-men-ting-jackyde-jia-tai-bei-shi.zh-tw.html
House Ximending,N/A,8.6,禁菸客房、免費良好 WiFi（42 Mbps）、家庭房、電梯、行李寄存、每日清潔服務,「老闆非常貼心介紹房間及注意事項」 | 「離捷運站很近，房間跟衛浴都乾淨。」 | 「下單後快速與客戶聯繫👍 人員超熱心說明並介紹👍 天氣熱會預先開冷氣👍 下樓就可逛街，吃東西👍 推👍推👍推」,萬華區,台北萬華區No,25.04296988683455,121.50558356864812,標準房,N/A,"3,000",2,#RD272834001,https://www.booking.com/hotel/tw/xi-men-ting-jackyde-jia-tai-bei-shi.zh-tw.html
苓旅萬年-LIN INN Wan Nian,N/A,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,「位置方便」 | 「很乾淨，房間很大」 | 「乾淨房間很大」,萬華區,台北萬華區Floor,25.043513,121.505894,標準房,N/A,"4,080",4,#RD843005906,https://www.booking.com/hotel/tw/ling-lu-lin-inn-tai-bei-shi.zh-tw.html
苓旅萬年-LIN INN Wan Nian,N/A,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,「位置方便」 | 「很乾淨，房間很大」 | 「乾淨房間很大」,萬華區,台北萬華區Floor,25.043513,121.505894,標準房,N/A,"3,980",3,#RD843005905,https://www.booking.com/hotel/tw/ling-lu-lin-inn-tai-bei-shi.zh-tw.html
苓旅萬年-LIN INN Wan Nian,N/A,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,「位置方便」 | 「很乾淨，房間很大」 | 「乾淨房間很大」,萬華區,台北萬華區Floor,25.043513,121.505894,標準房,N/A,"3,580",2,#RD843005902,https://www.booking.com/hotel/tw/ling-lu-lin-inn-tai-bei-shi.zh-tw.html
苓旅萬年-LIN INN Wan Nian,N/A,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,「位置方便」 | 「很乾淨，房間很大」 | 「乾淨房間很大」,萬華區,台北萬華區Floor,25.043513,121.505894,標準房,N/A,"3,680",2,#RD843005903,https://www.booking.com/hotel/tw/ling-lu-lin-inn-tai-bei-shi.zh-tw.html
苓旅萬年-LIN INN Wan Nian,N/A,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,「位置方便」 | 「很乾淨，房間很大」 | 「乾淨房間很大」,萬華區,台北萬華區Floor,25.043513,121.505894,標準房,N/A,"3,680",2,#RD843005904,https://www.booking.com/hotel/tw/ling-lu-lin-inn-tai-bei-shi.zh-tw.html
