公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,緯度,經度,定位方式,比對地址,定位分數
22555003,統一超商股份有限公司,54388789,台北市第七七二分公司,臺北市大同區民族西路246、248號1樓,1,1030827,1140516,25.068547254453,121.512494119448,門牌級(arcgis),"台北市大同區民族西路246號, 103042",98.06
22555003,統一超商股份有限公司,54389133,台北市第七七三分公司,臺北市萬華區興義街6、8號1樓,3,1030902,       ,25.026678472994,121.491669619272,門牌級(arcgis),"台北市萬華區興義街6號, 108036",98.89
22555003,統一超商股份有限公司,54389181,台北市第七七四分公司,臺北市大安區泰順街64號1樓,3,1030902,       ,25.022217585278,121.531235678986,門牌級(arcgis),"台北市大安區泰順街64號, 106",100
22555003,統一超商股份有限公司,54390027,台北市第七七五分公司,臺北市大安區和平東路三段298、300號及和平東路三段308巷2弄9號,1,1030922,1140519,25.020513819994,121.55642041844,門牌級(arcgis),"台北市大安區和平東路三段308號, 106036",94.54
22555003,統一超商股份有限公司,54390309,台北市第七七六分公司,臺北市信義區忠孝東路五段470號1樓,1,1030926,1140516,25.04067987904,121.5768489994,門牌級(arcgis),"台北市信義區廣居里忠孝東路五段470號, 11061",100
22555003,統一超商股份有限公司,54390722,台北市第七七七分公司,臺北市萬華區西藏路107、107-1號1樓,1,1031006,1140516,25.02982556481,121.503580608658,門牌級(arcgis),"台北市萬華區西藏路107號, 108048",97.56
22555003,統一超商股份有限公司,54394348,台北市第七七八分公司,臺北市南港區經貿二路186號2樓,1,1031209,1140519,25.059223289163,121.615186231963,門牌級(arcgis),"台北市南港區三重里經貿二路186號, 11568",100
22555003,統一超商股份有限公司,54394353,台北市第七七九分公司,臺北市信義區松德路127號1樓,1,1031209,1140516,25.03748117715,121.575239254895,門牌級(arcgis),"台北市信義區國業里松德路127號, 11075",100
22555003,統一超商股份有限公司,54394706,台北市第七八０分公司,臺北市士林區福華路126號1樓,1,1031212,1140516,25.102715517908,121.522916984522,門牌級(arcgis),"台北市士林區德行里福華路126號, 11158",100
22555003,統一超商股份有限公司,54395043,台北市第七八一分公司,臺北市信義區松高路12號B1樓,3,1031218,       ,25.038813103474,121.56680018714,門牌級(arcgis),"台北市信義區西村里松高路12號, 11073",100
22555003,統一超商股份有限公司,54396417,台北市第七八二分公司,臺北市大同區南京西路68號1樓,3,1040113,       ,25.052903627536,121.518600472025,門牌級(arcgis),"台北市大同區建泰里南京西路68號, 10352",100
22555003,統一超商股份有限公司,54397773,台北市第七八四分公司,臺北市萬華區寶興街43號、45號1樓,1,1040206,1140516,25.027356344466,121.493420502194,門牌級(arcgis),"台北市萬華區寶興街43號, 108035",98.44
22555003,統一超商股份有限公司,54398219,台北市第七八五分公司,臺北市士林區華齡街17巷2號、4號1樓,1,1040216,1140516,25.083089506923,121.519403058742,門牌級(arcgis),"台北市士林區華齡街17巷2號, 111056",99.1
22555003,統一超商股份有限公司,54399028,台北市第七八三分公司,臺北市中山區敬業三路11號1樓,3,1040318,       ,25.083571753969,121.555910250897,門牌級(arcgis),"台北市中山區成功里敬業三路11號, 10466",100
22555003,統一超商股份有限公司,54911498,台北市第九六一分公司,臺北市中山區復興北路348號1樓,1,1080425,       ,25.059970996836,121.543938797686,門牌級(arcgis),"台北市中山區江山里復興北路348號, 10478",100
22555003,統一超商股份有限公司,54911624,台北市第九六二分公司,臺北市松山區復興北路15-6號1樓,1,1080510,       ,25.048706054245,121.544261752416,門牌級(arcgis),"台北市松山區中正里復興北路15之6號, 10552",100
22555003,統一超商股份有限公司,54911862,台北市第九六三分公司,臺北市北投區裕民六路111號1、2樓、113號1樓,1,1080513,       ,25.115004635407,121.5175364804,門牌級(arcgis),"台北市北投區裕民六路111號, 112042",96.8
22555003,統一超商股份有限公司,54912074,台北市第九六四分公司,臺北市內湖區安康路32巷24弄22號1樓,1,1080520,       ,25.061742847348,121.593976161254,門牌級(arcgis),"台北市內湖區石潭里安康路32巷24弄22號, 11484",100
22555003,統一超商股份有限公司,54912546,台北市第九０五分公司,臺北市文山區新光路1段10、12、14號1樓+B1,1,1080605,1121128,24.989612279324,121.573688509895,門牌級(arcgis),"台北市文山區新光路一段10號, 116012",95.42
