id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person
1304965945821998255,28103867,25.04374,121.51367,中正區,Entire home/apt,0.21643835616438356,0,8,2.0,4.0,1.5,False,3286.0,4,365,4.0,0,1,0,1,4.71,5.0,4.57,5.0,5.0,5.0,4.71,0.6409691629955947,0.2390300230946882,0.8928571428571429,1798,1462,1.0,1.0,4.0,0,47,47,3874,1000,189,0,25,173,66,10.333333333333334,410.75,1643.0,0.5
1305011287948483034,51657575,25.04937,121.51933,大同區,Entire home/apt,0.6054794520547945,0,4,1.0,3.0,1.0,False,2364.0,3,365,3.0,0,0,0,7,4.82,4.73,4.68,4.95,5.0,5.0,4.82,0.4232558139534884,0.40625,1.5483870967741935,897,600,1.0,1.0,4.0,0,6,6,3574,1000,341,0,48,158,36,5.6415094339622645,591.0,2364.0,0.75
1305089372083269415,28103867,25.04439,121.50693,萬華區,Entire home/apt,0.19452054794520549,0,5,1.0,3.0,1.0,False,1969.0,3,365,4.0,0,0,0,11,5.0,4.75,4.75,5.0,5.0,5.0,5.0,0.5643322475570033,0.9321458863443596,0.8148148148148148,1831,1505,1.0,1.0,4.0,0,47,47,3874,707,189,0,22,156,93,11.662420382165605,393.8,1969.0,0.6
1305408009759869636,268135087,25.04977,121.51651,大同區,Entire home/apt,0.9260273972602739,1,4,2.0,2.0,1.0,False,3932.0,1,365,11.8,1,0,0,7,4.95,4.9,4.85,4.85,4.95,5.0,4.8,0.6976744186046512,0.7475961538461539,1.2580645161290323,917,645,0.99,1.0,4.0,1,14,13,2302,228,0,0,39,159,59,5.73125,983.0,1966.0,0.5
1305414523783704994,1398361,25.05056,121.5165,大同區,Entire home/apt,0.9287671232876712,1,4,2.0,3.0,1.0,False,4071.0,1,365,11.8,1,1,0,7,5.0,4.93,4.93,4.87,5.0,5.0,4.73,0.7348837209302326,0.8966346153846154,1.3225806451612903,895,619,0.95,1.0,4.0,1,11,11,5071,228,802,0,41,153,43,5.811688311688312,1017.75,2035.5,0.75
1305558170341843439,572749232,25.04480593796905,121.50750042235336,萬華區,Entire home/apt,0.6356164383561644,0,2,1.0,1.0,1.0,False,1828.0,3,365,3.0,0,0,0,11,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.49307817589576547,0.017387616624257845,0.8148148148148148,1899,1558,0.88,1.0,4.0,0,8,2,531,56,0,0,22,162,90,11.650306748466258,914.0,1828.0,0.5
1305645155490944689,906344,25.051412726282745,121.52198001576237,中山區,Entire home/apt,0.40273972602739727,0,2,1.0,1.0,1.0,False,1368.0,3,90,3.0,0,0,0,0,4.83,4.83,4.5,5.0,5.0,5.0,4.83,0.10157790927021697,0.4920844327176781,0.8979591836734694,847,620,0.97,1.0,4.0,0,22,22,5174,1000,48,0,22,137,37,6.13768115942029,684.0,1368.0,0.5
1305799280208179132,136010110,25.04136966190816,121.50488845479902,萬華區,Entire home/apt,0.9643835616438357,1,6,2.0,3.0,1.0,False,3680.0,3,365,3.0,0,0,0,11,4.91,4.93,4.81,4.93,4.98,4.88,4.79,0.885586319218241,0.7714164546225615,1.0740740740740742,1591,1326,0.93,1.0,4.0,1,39,37,3024,518,66,0,29,126,61,12.527559055118111,613.3333333333334,1840.0,0.5
1306222077762025973,67202633,25.04235,121.50646,萬華區,Entire home/apt,0.24383561643835616,0,2,1.0,1.0,1.0,False,1221.0,1,365,1.0,0,0,0,11,4.79,4.83,4.63,4.83,4.83,4.92,4.75,0.1490228013029316,0.46395250212044103,0.6296296296296297,1685,1404,0.9,0.95,4.0,0,21,21,3456,375,23,0,17,144,81,11.620689655172415,610.5,1221.0,0.5
1306237178529193140,125647931,25.0247258,121.5429354,大安區,Entire home/apt,0.0,0,5,3.0,,1.0,False,,1,3,1.0,1,0,0,8,,,,,,,,,,0.21212121212121213,223,115,1.0,,0.0,0,23,15,3092,429,60,0,7,8,0,24.77777777777778,,,
1306284580674419753,514613922,25.04157,121.50369,萬華區,Entire home/apt,0.1589041095890411,0,2,1.0,1.0,1.0,False,1768.0,4,30,4.0,0,0,0,11,4.97,4.97,4.9,4.93,5.0,5.0,4.9,0.46254071661237783,0.85284139100933,0.7037037037037037,1541,1304,0.9,1.0,4.0,0,4,2,871,496,0,0,19,113,56,13.517543859649123,884.0,1768.0,0.5
1306294336111684071,574311668,25.03758,121.56101,信義區,Private room,0.3424657534246575,0,2,1.0,1.0,1.0,True,766.0,3,365,3.0,0,1,2,2,4.5,4.64,4.71,4.57,4.71,4.5,4.43,0.3431952662721893,0.2161290322580645,1.7391304347826086,435,80,0.74,0.99,4.0,0,22,22,522,311,416,415,40,19,2,21.75,383.0,766.0,0.5
1306372164944825819,56892063,25.04327078402552,121.54824871569872,大安區,Entire home/apt,0.4767123287671233,0,2,1.0,1.0,1.0,False,1923.0,2,365,2.0,0,0,0,8,4.71,4.71,4.86,4.71,5.0,4.86,4.43,0.2357473035439137,0.2532786885245902,1.0606060606060606,490,417,1.0,1.0,4.0,0,1,1,3530,272,26,0,35,28,10,16.896551724137932,961.5,1923.0,0.5
1306381549759331353,125647931,25.02506,121.52421,大安區,Entire home/apt,0.0,0,4,2.0,,1.0,False,,1,5,1.0,1,0,0,8,,,,,,,,,,0.15151515151515152,463,213,1.0,,0.0,0,23,15,3092,371,60,0,5,12,4,35.61538461538461,,,
1307078011285176782,471945582,25.02372339541892,121.55573101507557,信義區,Private room,0.40273972602739727,0,1,1.0,1.0,2.0,True,274.0,30,365,30.0,1,1,2,2,4.25,4.5,4.0,4.5,4.75,4.75,4.5,0.023668639053254437,0.11290322580645161,0.6086956521739131,339,126,0.98,1.0,4.0,0,38,37,1161,312,450,0,14,9,2,33.9,274.0,274.0,1.0
1307243058767993767,168846117,25.09371,121.52635,士林區,Entire home/apt,0.3041095890410959,0,8,3.0,4.0,2.0,False,3915.0,7,365,6.4,1,1,0,6,4.83,5.0,4.92,5.0,4.75,4.83,4.67,0.7807017543859649,0.5533980582524272,1.793103448275862,119,68,1.0,1.0,4.0,1,5,5,2810,232,184,0,52,14,6,7.933333333333334,489.375,1305.0,0.5
