osm_type,osm_id,name,tourism_type,latitude,longitude
node,3544694193,儷夏精品旅店,hotel,25.0459198,121.5066585
node,3550932809,思泊客,hotel,25.032544,121.563314
node,3550932810,豪麗旺商務旅館,hotel,25.0321809,121.5595067
node,3561044205,品格子旅店,hotel,25.0456088,121.5174224
node,3561052999,窩旅館,hotel,25.0455737,121.5174125
node,3581160293,和逸-忠孝館,hotel,25.0446197,121.5252949
node,3626353993,德立莊,hotel,25.0466829,121.5056843
node,3633921320,香城商旅,hotel,25.033357,121.5552494
node,3707479470,台北青年國際旅館,hotel,25.0456472,121.516509
node,3710078778,日暉商務旅館,hotel,24.9933674,121.5038975
node,3752985284,新榮大旅社,hotel,25.0882229,121.526313
node,3823837090,立瀚會館,hotel,25.0325902,121.5042722
node,3863568265,寶格利時尚旅館,hotel,25.0411645,121.5076087
node,3863568266,桔子商旅-台北西門店,hotel,25.0412851,121.5076369
node,3867437820,黎明Hotel,hotel,24.9809385,121.5414507
node,3881407475,南陽街壹號旅店,hotel,25.0458031,121.5163251
node,3881851463,洛碁大飯店中華館,hotel,25.0447648,121.5094876
node,3881851950,捷絲旅台北西門館,hotel,25.0450419,121.5096269
node,3938949101,修齊會館,hotel,25.0139918,121.5300688
node,3939158032,新仕旗店,hotel,25.0577017,121.522286
node,3939158492,萬事達旅店,hotel,25.0464233,121.5779915
node,4018208920,承攜行旅台北重慶館,hotel,25.0521187,121.5138125
node,4018210028,新逸旅店,hotel,25.0511189,121.5166464
node,4018211177,背包棧旅店,hostel,25.0540952,121.5388574
node,4032500061,台北日記旅店,hotel,25.0460851,121.5129973
node,4033374015,君迪商旅,hotel,24.9940868,121.4850123
node,4085141436,甜蜜蜜旅館,hotel,25.0031331,121.4541727
node,4109188590,太空艙青年旅舍,hostel,25.0424209,121.5121442
node,4109416991,香榭峇里Hotel,hotel,25.0419214,121.5434544
node,4118442368,享住旅店,hotel,25.0450723,121.5147328
node,4123034910,旅樂序旅館 站前一館,hotel,25.0458399,121.5146235
node,4127807976,台北六福萬怡,hotel,25.0527541,121.6058287
node,4128150382,晶城青年旅館,hostel,25.0538288,121.5140352
node,4148721616,小公館文人旅舍,hostel,25.0515613,121.5698118
node,4149477983,宮賓旅舍,hotel,25.0067481,121.4572294
node,4149477984,悅喜商務飯店,hotel,25.0084998,121.4579798
node,4149477985,新都旅店,hotel,25.0050864,121.4554721
node,4149477987,欣芳旅店,hotel,25.0070427,121.4566789
node,4149477988,百麗旅店,hotel,25.008535,121.457583
node,4149484090,藝宿商旅,hotel,25.0092746,121.458057
node,4149484093,馥麗商旅,hotel,25.0078272,121.4580632
node,4149484094,馥麗商旅二館,hotel,25.0091873,121.4578253
node,4150685013,InPage Hotel,hotel,25.0452937,121.5133805
node,4152383789,四四小公寓,hotel,25.0334595,121.5495338
node,4154656590,蜂巢 Bee House,hotel,25.051047,121.515514
node,4167728989,Fun Taipei Backpackers,hostel,25.0886631,121.5231312
node,4205230083,首都大飯店大直館,hotel,25.0813225,121.5609377
node,4221670191,台北發現青年旅舍,hostel,25.062814,121.5291099
node,4235272603,天使商旅,hotel,25.0507531,121.5699038
node,4235796401,永安棧,hotel,25.0428867,121.5080633
node,4235840393,摩根Motel,motel,25.090428,121.4645805
node,4236764836,191寧夏旅店,hotel,25.0546575,121.515032
node,4241731433,迪樂商旅,hotel,25.0528395,121.5119238
node,4242363292,高絲旅時尚旅館漢口館,hotel,25.0456894,121.5060453
node,4245894189,CLICK Hotel,hotel,25.0440522,121.5060376
node,4246829937,CLICK Hotel,hotel,25.0455866,121.5063508
node,4257932091,柯達大飯店永和店,hotel,25.0077662,121.513692
node,4258167531,焿子坪溫泉會館 (休業),hotel,25.1878415,121.6170956
node,4259936190,長富時尚旅店,hotel,25.0547727,121.5260199
node,4260027890,黑熊好眠站膠囊旅館,hotel,25.0631256,121.4996877
node,4292131691,Mr Lobster's Secret Den Design Hotel,hostel,25.0504615,121.5133591
node,4298897593,路境行旅,hotel,25.0431545,121.5130472
node,4298897596,培美Hotel,hotel,25.042872,121.5129598
node,4298897601,Via Hotel Station 丰居旅店北車館,hotel,25.0438142,121.5131133
node,4298897603,享樂文旅,hotel,25.0461093,121.5128092
