listing_id,price,accommodates,bedrooms,beds,bathrooms,minimum_nights,amenities_count,instant_bookable,room_type_code,property_type_code,neighbourhood_code,latitude,longitude,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_tenure_days,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication,review_scores_checkin,review_scores_accuracy,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,self_checkin,response_speed,desc_len,host_about_len,maximum_nights,min_nights_avg_ntm,Y_vacancy,photo_width,photo_height,photo_brightness,photo_contrast,photo_sharpness,photo_colorfulness,photo_coziness,photo_design_sense,photo_cleanliness
48535884,3127.0,3,1.0,2.0,1.0,7,70,0,0,5,8,25.03129,121.54356,0,0.01,0.01,2,3446,4.92,4.83,4.95,4.81,4.99,4.96,4.88,0.5441176470588235,0.667192429022082,2.121212121212121,322,202,0,4,1000,17,365,4.0,0.3013698630136986,5312,2988,120.8793208098458,49.0716502813096,19.31550146365247,35.360269933614646,0.9899188280105592,0.4694095849990845,0.9871034026145936
48632499,2090.0,2,1.0,1.0,1.0,7,37,0,0,11,8,25.04225,121.54208,0,0.01,0.0098999999999999,13,2875,4.71,4.59,4.88,4.53,4.82,4.71,4.71,0.2786764705882353,0.2484227129337539,1.121212121212121,422,359,1,4,195,42,365,7.0,0.5726027397260274,2160,2880,146.0641139403292,65.34706287715748,1774.07970639844,49.82838434472553,0.5566838979721069,0.8237754702568054,0.9971465468406676
48855237,1620.0,4,2.0,2.0,1.0,14,30,0,2,19,10,25.04872,121.55083,0,0.01,0.0096,24,2193,4.86,4.72,4.88,4.75,4.98,4.89,4.77,0.6842105263157895,0.5,1.1538461538461535,426,53,1,4,372,344,1125,19.9,0.958904109589041,7030,5792,183.06157571045165,36.09800705010597,100.63903276821374,10.070839605053347,0.9033574461936952,0.9401314854621888,0.9893856048583984
49139624,20000.0,16,7.0,12.0,9.0,1,16,0,0,8,7,25.05021,121.51323,0,0.01,0.0093999999999999,10,1842,4.5,5.0,5.0,4.5,4.5,4.5,4.5,0.9962264150943396,0.0726141078838174,0.5,1407,1053,0,4,937,3,1125,1.0,0.2465753424657534,1080,720,126.015574845679,52.03298623813877,912.332963666892,21.32444262804023,0.9765684604644777,0.9805228114128112,0.9454560279846193
49230329,1829.0,2,0.0,2.0,1.0,30,23,0,0,11,11,25.04686,121.50528,0,0.01,0.01,7,3811,5.0,4.5,5.0,4.5,5.0,5.0,5.0,0.4932985852568876,0.924031007751938,0.8518518518518519,1832,1506,0,4,69,707,365,29.3,0.0027397260273972,4032,3024,150.5430631502215,51.93329879983401,83.18802202386185,36.18121514350467,0.811955451965332,0.935552716255188,0.9768611788749696
49239323,4679.0,5,3.0,3.0,1.0,10,47,0,0,5,8,25.03551,121.54488,0,0.01,0.01,2,3446,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8022058823529412,0.8777602523659306,1.4242424242424243,460,372,0,4,245,17,360,5.0,0.9945205479452056,4624,3468,135.41238256446482,59.63382257032438,727.7132950161172,32.435054883220225,0.1125648543238639,0.6633614897727966,0.9304587841033936
49241278,7147.0,10,2.0,5.0,2.0,2,41,0,0,11,1,25.04741403898478,121.51560351135451,0,0.01,0.01,11,3615,4.77,4.69,4.96,4.65,4.95,4.82,4.8,0.9384288747346072,0.3337078651685393,1.4642857142857142,1338,961,1,4,273,1440,30,2.0,0.0356164383561643,2048,1486,115.67868333613728,62.77722370404769,301.2653255252925,14.02446340341231,0.1963845491409301,0.6103169322013855,0.9200350046157836
49301296,3831.0,3,1.0,1.0,1.0,1,25,0,0,35,10,25.04992,121.57577,0,0.01,0.01,6,3607,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0.7692307692307693,0.850609756097561,0.78125,216,158,0,4,775,112,1125,1.0,0.1835616438356164,1706,960,103.26402891754591,50.05375154972489,188.27431489312028,23.79196671276479,0.8120317459106445,0.9046445488929749,0.9991034865379332
49432125,4131.0,2,2.0,1.0,1.0,14,45,0,0,11,8,25.0288143157959,121.53109741210938,0,0.009,0.0077,2,4906,4.98,4.97,5.0,4.94,4.98,5.0,5.0,0.7191176470588235,0.749211356466877,1.3636363636363635,486,246,1,3,509,268,730,13.7,0.2191780821917808,4200,2800,158.76404294217687,56.14667570345707,158.6248867661703,40.286605623806246,0.9800383448600768,0.8181994557380676,0.9595485925674438
49447773,2010.0,2,1.0,2.0,1.0,14,55,0,0,11,8,25.0288143157959,121.53109741210938,0,0.009,0.0077,2,4906,5.0,5.0,5.0,4.96,5.0,5.0,5.0,0.5040953090096798,0.8777602523659306,1.6666666666666667,486,246,1,3,457,268,730,14.0,0.0,4200,2800,159.0940081632653,65.16961232137491,788.3777587576227,34.605007038984155,0.9903821349143982,0.9619107246398926,0.9605786204338074
49473465,2676.0,2,1.0,1.0,1.5,1,21,0,2,24,11,25.039995,121.506111,0,0.009,0.0098999999999999,12,3388,4.45,4.55,4.73,4.61,4.73,4.67,4.73,0.8024691358024691,0.1631205673758865,0.9545454545454546,1732,228,0,4,510,367,1125,1.0,0.9534246575342464,3264,2448,136.9473319556581,55.33600356975681,181.507908866156,15.638390953772744,0.4639465510845184,0.2149356007575988,0.9971509575843812
49504778,2010.0,2,1.0,2.0,1.0,30,37,0,0,11,8,25.02974,121.55127,0,0.01,0.0096,26,4030,4.76,4.72,4.79,4.48,4.9,4.93,4.79,0.5040953090096798,0.3462145110410095,1.121212121212121,506,350,1,4,519,177,730,30.0,0.0164383561643835,1280,850,87.14264981617647,58.56896214362532,575.5446217936978,63.22745400912654,0.9953811168670654,0.9433404803276062,0.9976059198379515
